X,Data Status,Date,Partner,Offer,Leads,Exclusive Auto Converted,Exclusive Auto Pct Gross,Agent Conversion Eligible,Agent Converted,Agent Conversion Pct,Avg Rev Per Agent Conv,Avg Cost,Avg Scrub Cost,Sum Cost,Sum Scrub Cost,Average Auto Revenue,Sum Auto Revenue,Avg Agent Revenue,Sum of Agent Revenue,Avg Revenue,Sum Revenue,Avg Income,Sum Income,
Feb'22,Regular,2/1/22,Partner_02,Offer_29,2,2,100,0,0,0,0,5,3.75,10,7.5,5,10,0,0,5,10,1.25,2.5,
Feb'22,Coreg,2/1/22,Partner_02,Offer_18,1,0,0,1,0,0,0,1.01,0.76,1.01,0.76,0,0,0,0,0,0,-0.76,-0.76,
Feb'22,Regular,2/1/22,Partner_02,Offer_11,10,0,0,10,2,20,15,3.01,2.26,30.1,22.6,0,0,3,30,3,30,0.74,7.4,
Feb'22,Regular,2/1/22,Partner_02,Offer_04,118,117,99.15,1,0,0,0,7.8,5.85,920.13,690.38,21.81,"2,574.00",0,0,21.81,"2,574.00",15.96,"1,883.62",
Feb'22,Coreg,2/1/22,Partner_02,Offer_12,50,0,0,50,1,2,5,0.8,0.77,40,38.4,0,0,0.1,5,0.1,5,-0.67,-33.4,
Feb'22,Regular,2/1/22,Partner_02,Offer_05,22,0,0,22,2,9.09,19,2.36,1.77,52.02,39.02,0,0,1.73,38,1.73,38,-0.05,-1.02,
Feb'22,Regular,2/1/22,Partner_02,Offer_13,2,0,0,2,0,0,0,3.76,2.82,7.52,5.64,0,0,0,0,0,0,-2.82,-5.64,
Feb'22,Regular,2/1/22,Partner_02,Offer_14,20,0,0,20,0,0,0,1.02,0.76,20.4,15.3,0,0,0,0,0,0,-0.76,-15.3,
Feb'22,Regular,2/1/22,Partner_02,Offer_15,51,0,0,51,17,33.33,26.29,3,2.25,153,114.75,0,0,8.76,447,8.76,447,6.51,332.25,
Feb'22,Regular,2/1/22,Partner_02,Offer_16,25,17,68,8,0,0,0,3.37,2.53,84.25,63.25,12.24,306,0,0,12.24,306,9.71,242.75,
Feb'22,Regular,2/1/22,Partner_02,Offer_06,47,0,0,47,3,6.38,21,1.53,1.15,72.04,54.12,0,0,1.34,63,1.34,63,0.19,8.88,
Feb'22,Regular,2/1/22,Partner_02,Offer_20,12,0,0,12,1,8.33,11,1.18,0.88,14.11,10.61,0,0,0.92,11,0.92,11,0.03,0.39,
